OBJECTID;Perimetro;Area;CantidadConstrucciones;Area_int;X_MAGNAMED;Y_MAGNAMED;CS_TF;EQ_TF;H_TF;PP_TF;PC_TF;PP_TF;TR_TF;UR_TF;ValorM2;ZP_TF;R_TF;C_AvaluoLote;C_AvaluoConstruccion;C_AvaluoTotal
296181;269.1530634;3426.236897;0;3426;840682.919;1178413.195;0;1;1;1;1;1;0;1;15651;0;1;29804000;51818000;81622000
296180;135.5871309;806.3215624;0;806;840688.6779;1178370.445;0;1;0;1;1;1;0;1;15651;1;1;7094000;36782000;43876000
146781;51.61694148;134.6328098;0;135;840700.5755;1178366.696;0;1;0;1;1;1;0;1;15651;1;1;1270000;15881000;17151000
146769;76.97783976;362.536778;0;362;840712.2693;1178371.147;0;1;0;1;1;1;0;1;15651;0;1;10355000;57468000;67823000
296178;93.86500357;563.2054012;0;563;840711.7949;1178395.635;0;1;1;1;1;1;0;1;15651;0;1;11816000;4552000;16368000
259036;44.44250169;127.5918575;0;128;840731.6373;1178370.955;0;1;0;1;1;1;0;1;15651;0;1;8725000;24154000;32879000
163561;115.5451108;393.4073619;0;393;840728.6047;1178380.112;0;1;1;1;1;1;0;1;15651;0;1;8332000;0;8332000
296177;197.99537;2474.359685;0;2474;840745.0247;1178412.291;0;1;0;1;1;1;0;1;15651;0;1;21555000;89051000;110606000
280438;189.1120447;1989.0875;0;1989;840790.1854;1178437.82;0;1;0;1;1;1;0;1;15651;0;1;17346000;14089000;31435000
72507;149.998013;1400.590496;0;1400;840039.7582;1178192.802;0;1;0;1;1;1;0;1;15651;1;1;12242000;0;12242000
72500;149.7987865;1400.660301;0;1400;840052.18;1178156.617;0;1;0;1;1;1;0;1;15651;1;1;12242000;0;12242000
297839;214.0766695;2402.943759;0;2403;840067.4864;1178107.6;0;1;1;1;1;1;0;1;15651;0;1;20940000;0;20940000
164246;242.7423847;3202.505281;0;3202;840378.5162;1178198.167;0;1;0;1;1;1;0;1;15651;1;1;27867000;0;27867000
163920;264.0203099;4061.337915;0;4061;840334.6089;1178190.397;0;1;0;1;1;1;0;1;15651;0;1;35313000;122041000;157354000
298155;258.4633871;2507.063042;0;2507;840295.1056;1178182.394;0;1;0;1;1;1;0;1;15651;0;1;21838000;0;21838000
298776;236.3033726;3234.518111;0;3234;840256.2287;1178194.407;0;1;1;1;1;1;0;1;15651;0;1;28144000;103268000;131412000
298154;62.49364624;293.9082594;0;293;839169.0938;1177460.093;0;1;0;1;1;1;0;1;15651;1;1;2640000;0;2640000
297437;584.003409;2021.934275;0;2022;839240.9644;1177429.791;0;1;0;1;1;1;0;1;15651;1;1;17632000;0;17632000
298153;185.2095516;714.2719112;0;714;839104.9831;1177648.066;0;1;0;1;1;1;0;1;15651;1;1;6295000;0;6295000
28258;353.5295419;1382.589697;0;1382;839162.7841;1177777.379;1;1;0;1;1;1;0;1;15651;1;1;12089000;0;12089000
295823;200.2312038;1300.219709;0;1300;839522.0028;1178163.646;0;1;0;1;1;1;0;1;15651;1;1;127588000;48135000;175723000
262679;343.7961627;5486.980341;0;5486;839469.3915;1178164.35;1;1;0;1;1;1;0;1;15651;0;1;47671000;88726000;136397000
298370;724.8369318;26528.60606;0;26524;839467.6714;1177284.289;1;1;1;1;1;1;0;1;15651;0;1;230077000;0;230077000
295822;908.9984177;28202.4795;0;28198;839361.3036;1177560.301;1;1;0;1;1;1;0;1;15651;0;1;244585000;0;244585000
295821;252.7600127;3666.345658;0;3667;839113.4069;1177463.915;0;1;0;1;1;1;0;1;15651;0;1;323869000;135084000;458953000
297436;271.6039831;4090.417291;0;4091;839100.8758;1177414.177;1;1;0;1;1;1;0;1;15651;0;1;35574000;0;35574000
295824;276.247601;3775.345059;0;3776;839120.1179;1177373.892;1;1;0;1;1;1;0;1;15651;0;1;32844000;0;32844000
298369;288.8703392;4700.364833;0;4701;839155.0934;1177340.371;1;1;1;1;1;1;0;1;15651;0;1;40861000;0;40861000
163932;292.25639;4681.850649;0;4681;839208.4776;1177342.178;1;1;1;1;1;1;0;1;15651;0;1;40695000;0;40695000
